horizon,response,impulse,value
0,Stress,Stress,1.0
0,Stress,A,0.0
0,Stress,SG_tau,0.0
0,Stress,Phi_tau,0.0
0,A,Stress,0.0
0,A,A,1.0
0,A,SG_tau,0.0
0,A,Phi_tau,0.0
0,SG_tau,Stress,0.0
0,SG_tau,A,0.0
0,SG_tau,SG_tau,1.0
0,SG_tau,Phi_tau,0.0
0,Phi_tau,Stress,0.0
0,Phi_tau,A,0.0
0,Phi_tau,SG_tau,0.0
0,Phi_tau,Phi_tau,1.0
1,Stress,Stress,0.8572843667344556
1,Stress,A,1.5870371574276843
1,Stress,SG_tau,-0.04057891373800963
1,Stress,Phi_tau,0.008203626917938401
1,A,Stress,-0.05170377298326448
1,A,A,0.22080401762962626
1,A,SG_tau,0.004165758449222123
1,A,Phi_tau,0.007188959630528207
1,SG_tau,Stress,0.2238993989780547
1,SG_tau,A,-3.080773287715036
1,SG_tau,SG_tau,-0.06486449652356509
1,SG_tau,Phi_tau,-0.1339812799516156
1,Phi_tau,Stress,0.39979948482582073
1,Phi_tau,A,0.15643437060953388
1,Phi_tau,SG_tau,-0.027746728194252904
1,Phi_tau,Phi_tau,0.97832182073504
2,Stress,Stress,0.8869938595873823
2,Stress,A,1.0457954620929792
2,Stress,SG_tau,-0.09557094637266145
2,Stress,Phi_tau,0.02218047032970459
2,A,Stress,-0.0693220536756396
2,A,A,0.10091139528188625
2,A,SG_tau,0.005270000383872125
2,A,Phi_tau,0.0005062411667127037
2,SG_tau,Stress,0.37295974424833606
2,SG_tau,A,-1.9807266112917274
2,SG_tau,SG_tau,-0.08770110671055888
2,SG_tau,Phi_tau,-0.009227746818529114
2,Phi_tau,Stress,0.8907299789513384
2,Phi_tau,A,0.7801566128459868
2,Phi_tau,SG_tau,-0.1312284928354106
2,Phi_tau,Phi_tau,0.9864228000126642
3,Stress,Stress,0.8696472556277758
3,Stress,A,1.5629846563867873
3,Stress,SG_tau,-0.07932095475510584
3,Stress,Phi_tau,0.02440190180030361
3,A,Stress,-0.07790326608770752
3,A,A,-0.039308240053495536
3,A,SG_tau,0.006131067011906998
3,A,Phi_tau,-0.00041773011174762683
3,SG_tau,Stress,0.47734573218402115
3,SG_tau,A,-0.06739328855292631
3,SG_tau,SG_tau,-0.02457297768234424
3,SG_tau,Phi_tau,-0.00015860303594419922
3,Phi_tau,Stress,1.346414496160985
3,Phi_tau,A,1.7771400767917098
3,Phi_tau,SG_tau,-0.1655410455309114
3,Phi_tau,Phi_tau,1.007558096367333
4,Stress,Stress,0.8465540341467828
4,Stress,A,1.5965567809403431
4,Stress,SG_tau,-0.07833406779660002
4,Stress,Phi_tau,0.02450131894704599
4,A,Stress,-0.08137344987699775
4,A,A,-0.09141046577783127
4,A,SG_tau,0.0072904983784472886
4,A,Phi_tau,-0.0014832862746007077
4,SG_tau,Stress,0.5216042733822183
4,SG_tau,A,0.396226233174552
4,SG_tau,SG_tau,-0.04217839313056666
4,SG_tau,Phi_tau,0.005167431880188611
4,Phi_tau,Stress,1.7853159575784603
4,Phi_tau,A,2.7207652690822597
4,Phi_tau,SG_tau,-0.20391293659377263
4,Phi_tau,Phi_tau,1.020875794060666
5,Stress,Stress,0.8139666992866849
5,Stress,A,1.623396849062517
5,Stress,SG_tau,-0.07610379120143276
5,Stress,Phi_tau,0.02321431774586221
5,A,Stress,-0.0815224247089416
5,A,A,-0.12729222442090032
5,A,SG_tau,0.007405920662980009
5,A,Phi_tau,-0.0019052827497505684
5,SG_tau,Stress,0.5327609480416469
5,SG_tau,A,0.7035098036123733
5,SG_tau,SG_tau,-0.0485992181994252
5,SG_tau,Phi_tau,0.01038980946819408
5,Phi_tau,Stress,2.2020510845580534
5,Phi_tau,A,3.5910547678188856
5,Phi_tau,SG_tau,-0.2441451583879082
5,Phi_tau,Phi_tau,1.033756750139233
6,Stress,Stress,0.7786085795484565
6,Stress,A,1.591886797258079
6,Stress,SG_tau,-0.07315703797033615
6,Stress,Phi_tau,0.021700971351232487
6,A,Stress,-0.07994265561197232
6,A,A,-0.1427208493822847
6,A,SG_tau,0.0073778917504719495
6,A,Phi_tau,-0.0020552639134925666
6,SG_tau,Stress,0.5289755023773112
6,SG_tau,A,0.8739082958664469
6,SG_tau,SG_tau,-0.04851099003207983
6,SG_tau,Phi_tau,0.012686004396596208
6,Phi_tau,Stress,2.598182535584237
6,Phi_tau,A,4.429576343862604
6,Phi_tau,SG_tau,-0.28161917690578564
6,Phi_tau,Phi_tau,1.0455869480775737
7,Stress,Stress,0.7416755748375357
7,Stress,A,1.5452800975564442
7,Stress,SG_tau,-0.06970319587253876
7,Stress,Phi_tau,0.019704899192604493
7,A,Stress,-0.07733056655454924
7,A,A,-0.1488335373979616
7,A,SG_tau,0.0071978337246595865
7,A,Phi_tau,-0.002032374984313635
7,SG_tau,Stress,0.5155087319393054
7,SG_tau,A,0.9527368361938974
7,SG_tau,SG_tau,-0.04765772442940935
7,SG_tau,Phi_tau,0.013068185118504452
7,Phi_tau,Stress,2.974205941404142
7,Phi_tau,A,5.230034306097668
7,Phi_tau,SG_tau,-0.317015066726522
7,Phi_tau,Phi_tau,1.0561032387838145
8,Stress,Stress,0.7044689619250126
8,Stress,A,1.4835956072509946
8,Stress,SG_tau,-0.06626561949801119
8,Stress,Phi_tau,0.01758110108188282
8,A,Stress,-0.07418728154606538
8,A,A,-0.1489106423336437
8,A,SG_tau,0.00694076955446661
8,A,Phi_tau,-0.0019206177195547004
8,SG_tau,Stress,0.496761888054307
8,SG_tau,A,0.9736078189872603
8,SG_tau,SG_tau,-0.04633469534955315
8,SG_tau,Phi_tau,0.012665943241042425
8,Phi_tau,Stress,3.3305761020195233
8,Phi_tau,A,5.9903126225780365
8,Phi_tau,SG_tau,-0.35060865001795816
